match_id,season,date,match_no,venue,city,team1,team2,toss_winner,toss_decision,innings1_score,innings1_wickets,innings2_score,innings2_wickets,winning_team,margin,won_by,player_of_the_match,team1_players,team2_players,umpire1,umpire2,umpire3
202464,2024,14-05-2024,64,"Arun Jaitley Stadium, Delhi",Delhi,DC,LSG,LSG,field,208,4,189,9,DC,19,runs,I Sharma,"I Sharma, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, T Stubbs, AR Patel, Gulbadin Naib, Rasikh Salam, Mukesh Kumar, Kuldeep Yadav, KK Ahmed","Mohsin Khan, Q de Kock, KL Rahul, MP Stoinis, DJ Hooda, N Pooran, A Badoni, KH Pandya, Arshad Khan, Yudhvir Singh, Ravi Bishnoi, Naveen-ul-Haq",A Totre,Vinod Seshan,KN Ananthapadmanabhan
202465,2024,15-05-2024,65,"Barsapara Cricket Stadium, Guwahati",Guwahati,RR,PBKS,RR,bat,144,9,145,5,PBKS,5,wickets,SM Curran,"YBK Jaiswal, T Kohler-Cadmore, SV Samson, R Parag, R Ashwin, Dhruv Jurel, R Powell, D Ferreira, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, NT Ellis, RD Chahar",R Pandit,MV Saidharshan Kumar,AK Chaudhary
202466,2024,16-05-2024,66,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,SRH,GT,No Toss,No Toss,,,,,,,,,,,Virender Sharma,Nand Kishore,Nitin Menon
202467,2024,17-05-2024,67,"Wankhede Stadium, Mumbai",Mumbai,LSG,MI,MI,field,214,6,196,6,LSG,18,runs,N Pooran,"Naveen-ul-Haq, KL Rahul, D Padikkal, MP Stoinis, DJ Hooda, N Pooran, Arshad Khan, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan","N Thushara, RG Sharma, D Brevis, SA Yadav, Ishan Kishan, HH Pandya, N Wadhera, Naman Dhir, R Shepherd, A Kamboj, PP Chawla, Arjun Tendulkar",Navdeep Singh,R Pandit,J Madanagopal
202468,2024,18-05-2024,68,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,CSK,CSK,field,218,5,191,7,RCB,27,runs,F du Plessis,"Swapnil Singh, V Kohli, F du Plessis, RM Patidar, C Green, KD Karthik, GJ Maxwell, MK Lomror, Yash Dayal, KV Sharma, Mohammed Siraj, LH Ferguson","M Theekshana, RD Gaikwad, R Ravindra, DJ Mitchell, AM Rahane, S Dube, RA Jadeja, MJ Santner, MS Dhoni, SN Thakur, TU Deshpande, Simarjeet Singh",A Totre,KN Ananthapadmanabhan,MA Gough
202469,2024,19-05-2024,69,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,PBKS,SRH,PBKS,bat,214,5,215,6,SRH,4,wickets,Abhishek Sharma,"Arshdeep Singh, Atharva Taide, P Simran Singh, RR Rossouw, Shashank Singh, JM Sharma, Ashutosh Sharma, Shivam Singh, R Dhawan, Harpreet Brar, HV Patel, RD Chahar","T Natarajan, TM Head, Abhishek Sharma, RA Tripathi, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, Sanvir Singh, PJ Cummins, B Kumar, V Viyaskanth",Nitin Menon,VK Sharma,HAS Khalid
202470,2024,19-05-2024,70,"Barsapara Cricket Stadium, Guwahati",Guwahati,RR,KKR,KK,field,,,,,,,,,"Yashasvi Jaiswal, Tom Kohler-Cadmore, Sanju Samson, Riyan Parag, Dhruv Jurel, Rovman Powell, Ravichandran Ashwin, Trent Boult, Sandeep Sharma, Avesh Khan, Nandre Burger","Rahmanullah Gurbaz, Sunil Narine, Venkatesh Iyer, Shreyas Iyer, Rinku Singh, Andre Russell, Ramandeep Singh , Anukul Roy, Mitchell Starc, Harshit Rana, Varun Chakaravarthy)",Sai Darshan Kumar,Rohan Pandit,Anil Chaudhary
202471,2024,21-05-2024,71,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,KKR,SRH,bat,159,10,164,2,KKR,8,wickets,MA Starc,"TM Head, Abhishek Sharma, RA Tripathi, Nithish Kumar Reddy, Shahbaz Ahmed, H Klaasen, Abdul Samad, Sanvir Singh, PJ Cummins, B Kumar, V Viyaskanth, T Natarajan","Rahmanullah Gurbaz, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, CV Varun",AK Chaudhary,R Pandit,KN Ananthapadmanabhan
202472,2024,22-05-2024,72,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,RCB,RR,RR,field,172,8,174,6,RR,4,wickets,R Ashwin,"V Kohli, F du Plessis, C Green, RM Patidar, GJ Maxwell, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, Yash Dayal, Mohammed Siraj, LH Ferguson","YS Chahal, YBK Jaiswal, T Kohler-Cadmore, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Powell, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",KN Ananthapadmanabhan,MV Saidharshan Kumar,AK Chaudhary
202473,2024,24-05-2024,73,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,SRH,RR,RR,field,175,9,139,7,SRH,36,runs,Shahbaz Ahmed,"TM Head, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, Nithish Kumar Reddy, Abdul Samad, Shahbaz Ahmed, PJ Cummins, JD Unadkat, B Kumar, T Natarajan","YS Chahal, YBK Jaiswal, T Kohler-Cadmore, SV Samson, R Parag, Dhruv Jurel, R Ashwin, SO Hetmyer, R Powell, TA Boult, Sandeep Sharma, Avesh Khan",Nitin Menon,VK Sharma,MA Gough
202474,2024,26-05-2024,74,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,SRH,KKR,SRH,bat,113,10,114,2,KKR,8,wickets,MA Starc,"Abhishek Sharma, TM Head, RA Tripathi, AK Markram, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, JD Unadkat, B Kumar, T Natarajan","Rahmanullah Gurbaz, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, CV Varun",J Madanagopal,Nitin Menon,MA Gough
